date,county,quantile,hosp_census_with_covid,hosp_census_for_covid,cases,Rt
2022-04-21,Total,0.5,1.84586182201278,1.10751709320767,26.5730626060249,0.969349612949786
2022-04-21,Total,0.95,7.77581701409563,4.66549020845738,112.314820111404,1.05435088425297
2022-04-22,Total,0.05,0,0,3.00383919961935,0.795401349720871
2022-04-22,Total,0.5,1.70633729694908,1.02380237816945,26.5367046715708,0.9722612311674
2022-04-22,Total,0.95,8.67166937730565,5.20300162638339,111.518213100369,1.05677698933075
2022-04-23,Total,0.05,0,0,2.91480074455894,0.799940092515169
2022-04-23,Total,0.5,1.80112598096618,1.08067558857971,26.428765570303,0.975570590038126
2022-04-23,Total,0.95,8.93556051951823,5.36133631171094,110.668277675047,1.05854251898371
2022-04-24,Total,0.05,0,0,2.83225383433454,0.80253357637135
2022-04-24,Total,0.5,1.51899539987659,0.911397239925954,26.3699326922895,0.977636862736597
2022-04-24,Total,0.95,8.52377375583982,5.11426425350389,109.6113943312,1.05978973122166
